country_name,doing_business_2017,doing_business_2018,doing_business_2019
Afghanistan,38.9,37.1,44.2
Albania,64.2,66.8,67
Algeria,46.1,46.2,48.5
Angola,37.7,39,41.2
Antigua and Barbuda,58.8,59.8,59.9
Argentina,57.2,57.3,58.2
Armenia,70.6,71.5,73.2
Australia,80.2,80.8,80.7
Austria,78.9,78.7,78.7
Azerbaijan,64.3,66.8,73.6
"Bahamas, The",56.9,58.6,59.4
Bahrain,68.7,69.1,70.1
Bangladesh,41,41.6,42.5
Barbados,57.8,57.7,57.7
Belarus,72.6,73.6,74.4
Belgium,72.4,72.2,74.7
Belize,55.4,55.3,55.3
Benin,49.7,51.6,51.7
Bhutan,65,65.8,66
Bolivia,50.2,51,51.6
Bosnia and Herzegovina,64.8,65.2,65.4
Botswana,65.6,65.7,66.2
Brazil,55.2,55.6,58.6
Brunei Darussalam,62.9,67.7,69.6
Bulgaria,71.6,71.7,71.8
Burkina Faso,50.9,51.2,51.3
Burundi,45.7,45.9,46.5
Cabo Verde,53.4,54,54
Cambodia,53.2,53.4,53.8
Cameroon,41.8,45.1,46
Canada,79.5,79.3,79.7
Central African Republic,32,32.4,34.8
Chad,36,35.5,36.7
Chile,71.6,72,72.3
China,64.6,65.2,74
Colombia,69.2,69,69.2
Comoros,46.4,46.9,47
"Congo, Dem. Rep.",34.4,34.6,35.2
"Congo, Rep.",38.5,37.9,38.2
Costa Rica,67.7,69.3,68.8
Cote d'Ivoire,51,53,58.3
Croatia,72.2,72.6,73
Cyprus,72.3,72.3,72.8
Czech Republic,76.4,76.4,76.3
Denmark,84.6,84.6,85.2
Djibouti,47.2,50.9,58.4
Dominica,61.2,61.7,60.5
Dominican Republic,57.7,59.1,59.3
Ecuador,57.5,57.5,57.6
"Egypt, Arab Rep.",55.5,55.8,58.5
El Salvador,62.7,64.7,64.9
Equatorial Guinea,38.5,40.3,40.5
Eritrea,20.9,21.4,21.5
Estonia,80.7,80.8,80.8
Eswatini,58.4,58.6,58.7
Ethiopia,44.1,46.1,47.1
Fiji,61.3,61.3,61.4
Finland,80.1,80,80
France,76.3,76,76.8
Gabon,43.7,44.7,44.5
"Gambia, The",47.8,47.8,47.8
Georgia,80.8,83,83.5
Germany,79.6,79.3,79.3
Ghana,58,58.4,60.4
Greece,67.1,67.1,67.4
Grenada,53.4,53.3,53.4
Guatemala,62,61.5,62.5
Guinea,46,46.7,49.3
Guinea-Bissau,42.8,42.9,43.2
Guyana,56.4,56.8,55.6
Haiti,37.7,37.7,37.9
Honduras,55.7,55.9,56
"Hong Kong SAR, China",84.8,85,85.1
Hungary,71.4,72.7,73.2
Iceland,79,79,79
India,55.9,60.9,67.5
Indonesia,64.7,66.9,68.2
"Iran, Islamic Rep.",55.7,55.7,58.6
Iraq,44.1,44.6,44.7
Ireland,80.1,80.1,79.6
Israel,74.2,74.3,75
Italy,71.8,73.2,73
Jamaica,67.3,67.7,68.3
Japan,77.9,78,78
Jordan,57,59.9,61.3
Kazakhstan,74.8,76.9,78
Kenya,62.8,65.4,71
Kiribati,46.7,46.2,46.8
"Korea, Rep.",84,84,84
Kosovo,64.9,70.5,71
Kuwait,60,61.8,62.6
Kyrgyz Republic,61.3,62.4,65.4
Lao PDR,49.1,50,49.8
Latvia,80.6,80,80.3
Lebanon,54.5,54.4,54.4
Lesotho,58,58.6,58.7
Liberia,40,43.6,43.5
Libya,32.5,32.5,32.7
Lithuania,79.2,80.6,81
Luxembourg,69.2,69.6,69.6
Madagascar,42.7,46.4,47
Malawi,53.2,59.5,60.4
Malaysia,78.3,78.8,81.3
Maldives,52.4,53.2,53.3
Mali,52.6,52.9,53.1
Malta,64.8,65.2,65.5
Marshall Islands,50.9,50.9,50.9
Mauritania,46.9,48.4,49.4
Mauritius,76.5,78.9,80.3
Mexico,72.4,72.5,72.3
"Micronesia, Fed. Sts.",48.1,48.1,48.1
Moldova,72.5,72.7,73.1
Mongolia,66.1,67.4,67.7
Montenegro,71.2,73.8,73.7
Morocco,69.2,69.2,71.7
Mozambique,52.1,52.8,54.6
Myanmar,42.7,43,43.5
Namibia,60.1,61.1,61.4
Nepal,58,60,59.7
Netherlands,75.6,76.1,76.1
New Zealand,87.2,87,87
Nicaragua,54.2,54.2,54.5
Niger,49.3,51.2,52.3
Nigeria,48.5,52,53.4
North Macedonia,80.6,80.3,80.7
Norway,82.4,82.7,82.9
Oman,68.1,68.6,68.8
Pakistan,52.5,53,55.5
Palau,53.2,53.7,53.7
Panama,64.7,66.5,66.9
Papua New Guinea,59.3,59.4,59.4
Paraguay,58,58,58.5
Peru,67.5,67.8,68.3
Philippines,59.3,59.3,60.9
Poland,77.7,77.9,76.9
Portugal,76.7,76.5,76.4
Puerto Rico,69.3,69.8,70
Qatar,65.4,66,66.7
Romania,72.9,73,72.5
Russian Federation,75.3,76.5,77.4
Rwanda,69,71.1,75.4
Samoa,60,62.1,62.1
San Marino,61.9,61.9,64.2
Sao Tome and Principe,44.3,44.7,45
Saudi Arabia,59.4,62.1,63.8
Senegal,50.3,54,54.4
Serbia,73.3,73.8,73.9
Seychelles,60.5,61.5,61.5
Sierra Leone,47.2,47.1,47.2
Singapore,85.4,85.6,85.8
Slovak Republic,75,75.2,75.4
Slovenia,75.4,76.4,76.4
Solomon Islands,55.1,54.9,55.2
Somalia,20.3,20,20
South Africa,65.4,65.3,66.7
South Sudan,32.7,31.6,33.6
Spain,77.6,77.6,77.7
Sri Lanka,59.8,60,61.8
St. Kitts and Nevis,54.4,54.6,54.6
St. Lucia,63.5,63.6,63.6
St. Vincent and the Grenadines,57,57,57
Sudan,44.8,45,48
Suriname,47.4,47.4,47.4
Sweden,82.2,82.2,82
Switzerland,76.4,76.6,76.6
Syrian Arab Republic,41.4,41.4,41.5
Taiwan,80.3,80.7,81
Tajikistan,53.4,54.3,55.4
Tanzania,53.9,54,54.3
Thailand,72.8,78.5,79.5
Timor-Leste,38.2,38,39.7
Togo,48.1,48.8,55.3
Tonga,61.1,61.6,61.7
Trinidad and Tobago,61.3,61.2,61
Tunisia,65.5,65.3,67.2
Turkey,69.4,70.9,75.3
Uganda,57.3,57.9,58.4
Ukraine,65.4,68.1,69.1
United Arab Emirates,77.4,79.3,81.6
United Kingdom,83.3,83.2,83.6
Uruguay,60.7,61,61.4
Uzbekistan,62.1,66.6,67.8
Vanuatu,60.9,60.9,60.7
"Venezuela, RB",31.1,30,32.1
Vietnam,65.3,67,68.6
West Bank and Gaza,55.5,59.3,59.7
"Yemen, Rep.",31.2,31.3,30.7
Zambia,60.3,64.2,65.7
Zimbabwe,47.8,48.6,50.5
